cohort,time,event_time,att,se,n_treat,n_control,post
2011,2010,-1,0.0,,1,26,0
2011,2011,0,-0.021489564266775396,,1,26,1
2011,2012,1,0.10264153390825426,,1,26,1
2011,2013,2,0.014499978902554167,,1,26,1
2011,2014,3,0.20618782907534072,,1,26,1
2011,2015,4,0.20504257117025593,,1,26,1
2011,2016,5,0.03014486230247493,,1,26,1
2011,2017,6,0.037591456818695246,,1,26,1
2011,2018,7,0.02370776703577193,,1,26,1
2011,2019,8,0.25119760855676976,,1,26,1
2011,2020,9,0.14623178945890025,,1,26,1
2011,2021,10,0.11445087212855021,,1,26,1
2011,2022,11,0.4469491089511708,,1,26,1
2012,2010,-2,0.12987740039458795,,1,26,0
2012,2011,-1,0.0,,1,26,0
2012,2012,0,0.043488220255153864,,1,26,1
2012,2013,1,0.13108918494065946,,1,26,1
2012,2014,2,0.16522736731820542,,1,26,1
2012,2015,3,0.2444201282573948,,1,26,1
2012,2016,4,0.19015024153679239,,1,26,1
2012,2017,5,0.12909615528880058,,1,26,1
2012,2018,6,0.19611124540331004,,1,26,1
2012,2019,7,0.11964842414560528,,1,26,1
2012,2020,8,0.17708207071285198,,1,26,1
2012,2021,9,0.29783999258539007,,1,26,1
2012,2022,10,0.4153713296750161,,1,26,1
2013,2010,-3,-0.07610292015623799,0.3418968755182604,3,26,0
2013,2011,-2,-0.07078035397412452,0.3872766090779828,3,26,0
2013,2012,-1,0.0,0.35981379642586114,3,26,0
2013,2013,0,-0.029172306722717867,0.37878452197225754,3,26,1
2013,2014,1,-0.20493228419185305,0.3229179049439626,3,26,1
2013,2015,2,-0.22676943348357614,0.2997651905200779,3,26,1
2013,2016,3,-0.17541087652058707,0.2958828838027826,3,26,1
2013,2017,4,-0.09197140526056646,0.333907619186282,3,26,1
2013,2018,5,-0.08461236909111491,0.32277299562240425,3,26,1
2013,2019,6,-0.12574172763853064,0.2968117056420221,3,26,1
2013,2020,7,-0.15710082868752706,0.3346806705466266,3,26,1
2013,2021,8,-0.1603057123603746,0.37086750952117836,3,26,1
2013,2022,9,-0.07221076483096489,0.3453420955223804,3,26,1
2014,2010,-4,-0.10710559380722517,0.08971876759933484,2,26,0
2014,2011,-3,-0.1946197127133964,0.09544614611176681,2,26,0
2014,2012,-2,-0.05405920949543863,0.10542664814653095,2,26,0
2014,2013,-1,0.0,0.07544112492251001,2,26,0
2014,2014,0,-0.24019819157209166,0.14729630774149258,2,26,1
2014,2015,1,-0.15649143565523316,0.11312777237904281,2,26,1
2014,2016,2,-0.12316230536085349,0.10999104680531234,2,26,1
2014,2017,3,-0.03634692162299569,0.08073450963636455,2,26,1
2014,2018,4,-0.03082857024117147,0.07389155522104242,2,26,1
2014,2019,5,-0.15438441485618104,0.16542365830890396,2,26,1
2014,2020,6,-0.00023739823797996884,0.1402642724781352,2,26,1
2014,2021,7,0.11096873630441229,0.15053784801323397,2,26,1
2014,2022,8,0.043927088466769515,0.1070342244819038,2,26,1
2015,2010,-5,0.204441424141371,,1,26,0
2015,2011,-4,-0.056957209454825186,,1,26,0
2015,2012,-3,0.05273516490702601,,1,26,0
2015,2013,-2,0.3506868529791024,,1,26,0
2015,2014,-1,0.0,,1,26,0
2015,2015,0,0.11006040959335661,,1,26,1
2015,2016,1,0.22090351855018964,,1,26,1
2015,2017,2,-0.0002596460379925558,,1,26,1
2015,2018,3,0.3538314672261468,,1,26,1
2015,2019,4,0.046706333352837026,,1,26,1
2015,2020,5,-0.02041990322156917,,1,26,1
2015,2021,6,0.027114243407311833,,1,26,1
2015,2022,7,0.2588880452656418,,1,26,1
2017,2010,-7,-0.23557012316330772,0.2580513477961925,2,26,0
2017,2011,-6,-0.20183412379804877,0.2678575095834455,2,26,0
2017,2012,-5,-0.22289151973712729,0.2772790489200892,2,26,0
2017,2013,-4,-0.18201193829668594,0.2629199381600173,2,26,0
2017,2014,-3,-0.1505957730187708,0.2751758763299691,2,26,0
2017,2015,-2,-0.011043687522347412,0.2952968922622827,2,26,0
2017,2016,-1,0.0,0.345111922798141,2,26,0
2017,2017,0,-0.022017077463151402,0.2844791980953207,2,26,1
2017,2018,1,0.06831508806895292,0.35201674307321806,2,26,1
2017,2019,2,0.10312057116887097,0.3583969240628111,2,26,1
2017,2020,3,0.09771718924199368,0.353600912661943,2,26,1
2017,2021,4,0.19263577819404598,0.34127939450308903,2,26,1
2017,2022,5,0.28593669167691327,0.311964045942256,2,26,1
2018,2010,-8,-0.2090545753642522,0.19160004037803538,2,26,0
2018,2011,-7,-0.1781190011990843,0.1873879037649774,2,26,0
2018,2012,-6,-0.2169668202530204,0.18422221222184543,2,26,0
2018,2013,-5,-0.1345207715316843,0.1674126050206885,2,26,0
2018,2014,-4,-0.2749183552702089,0.2210345712274191,2,26,0
2018,2015,-3,-0.26354363264943637,0.3393510837948816,2,26,0
2018,2016,-2,-0.22679669681243653,0.3321835130462192,2,26,0
2018,2017,-1,0.0,0.14570566696073284,2,26,0
2018,2018,0,-0.16886695675903085,0.23367666320079922,2,26,1
2018,2019,1,-0.14383041688793252,0.21647226115974133,2,26,1
2018,2020,2,-0.0838044952993755,0.2550203726768691,2,26,1
2018,2021,3,-0.10005577539274824,0.3524542603453403,2,26,1
2018,2022,4,-0.1948388950348039,0.36979341537202554,2,26,1
2019,2010,-9,0.09401581648411517,0.2926071626217774,3,26,0
